epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.49593496322631836,6.350381851196289,0.001,0.8333333134651184,0.6670604944229126
1,0.43089431524276733,0.6848867535591125,0.001,0.699999988079071,0.6455467343330383
2,0.5609756112098694,0.652179479598999,0.001,0.6666666865348816,0.6643213629722595
3,0.7642276287078857,0.5729634165763855,0.001,0.800000011920929,0.6532038450241089
4,0.772357702255249,0.5028467774391174,0.001,0.7333333492279053,0.6228248476982117
5,0.6910569071769714,0.5551121830940247,0.001,0.7333333492279053,0.6395286321640015
6,0.7804877758026123,0.5020062327384949,0.001,0.5666666626930237,0.6900523900985718
7,0.7154471278190613,0.4927193522453308,0.001,0.5666666626930237,0.7088927626609802
8,0.7967479825019836,0.537121057510376,0.001,0.3333333432674408,0.7831666469573975
9,0.6097561120986938,0.5308572053909302,0.000100000005,0.46666666865348816,0.7213395237922668
10,0.7398374080657959,0.42326539754867554,0.000100000005,0.7666666507720947,0.6518787145614624
11,0.8211382031440735,0.3996070623397827,0.000100000005,0.800000011920929,0.6325176358222961
12,0.8617886304855347,0.3591887950897217,0.000100000005,0.800000011920929,0.631109356880188
13,0.8780487775802612,0.3799907863140106,1.0000001e-05,0.800000011920929,0.6325396299362183
14,0.8536585569381714,0.3924989104270935,1.0000001e-05,0.7666666507720947,0.6336939334869385
