epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6341463327407837,0.9938732385635376,0.001,0.7666666507720947,0.4471513628959656
1,0.8455284833908081,0.34816867113113403,0.001,0.699999988079071,0.5400232672691345
2,0.9186992049217224,0.23042213916778564,0.001,0.8999999761581421,0.2689681351184845
3,0.9186992049217224,0.24152871966362,0.001,0.9666666388511658,0.21967391669750214
4,0.9430894255638123,0.15705423057079315,0.001,0.9666666388511658,0.16322800517082214
5,0.9268292784690857,0.16812638938426971,0.001,0.9666666388511658,0.11385274678468704
6,0.9593495726585388,0.14966480433940887,0.001,0.8999999761581421,0.17270508408546448
7,0.9268292784690857,0.1529443860054016,0.001,0.9666666388511658,0.111673504114151
8,0.9512194991111755,0.12692905962467194,0.001,0.8999999761581421,0.21592727303504944
9,0.9512194991111755,0.1009569838643074,0.001,0.9333333373069763,0.11981112509965897
10,0.9918699264526367,0.0560123510658741,0.001,0.8999999761581421,0.18002647161483765
11,0.9756097793579102,0.1359557956457138,0.001,0.9666666388511658,0.08805840462446213
12,0.9837398529052734,0.035453762859106064,0.001,0.8666666746139526,0.2764643728733063
13,0.9674796462059021,0.0480182059109211,0.001,1.0,0.07454374432563782
14,0.9593495726585388,0.09734043478965759,0.001,0.8333333134651184,0.4796615540981293
15,0.9593495726585388,0.06369129568338394,0.001,0.9666666388511658,0.07131678611040115
16,0.9674796462059021,0.08774533122777939,0.001,0.8333333134651184,0.4338316023349762
17,0.9674796462059021,0.061984460800886154,0.001,0.9666666388511658,0.11611226201057434
18,0.9756097793579102,0.05614544451236725,0.001,0.8333333134651184,0.4660106599330902
19,0.9756097793579102,0.05135595425963402,0.001,0.9666666388511658,0.09745907038450241
20,1.0,0.03813524916768074,0.000100000005,0.9666666388511658,0.09068965911865234
21,1.0,0.004135353025048971,0.000100000005,0.9666666388511658,0.06991524249315262
22,0.9918699264526367,0.021253857761621475,0.000100000005,0.9666666388511658,0.0657057836651802
23,0.9918699264526367,0.027205869555473328,0.000100000005,0.9666666388511658,0.06432130187749863
24,0.9918699264526367,0.030453043058514595,0.000100000005,0.9666666388511658,0.06417854130268097
25,0.9918699264526367,0.01808529905974865,0.000100000005,0.9666666388511658,0.06339907646179199
26,1.0,0.01633267290890217,0.000100000005,0.9666666388511658,0.06482109427452087
27,1.0,0.013110664673149586,0.000100000005,1.0,0.06715741753578186
28,1.0,0.012679650448262691,1.0000001e-05,1.0,0.06710600852966309
29,1.0,0.01219675038009882,1.0000001e-05,1.0,0.06716175377368927
30,0.9918699264526367,0.030973680317401886,1.0000001e-05,1.0,0.06738114356994629
31,0.9756097793579102,0.044245876371860504,1.0000001e-05,1.0,0.06694208830595016
32,0.9918699264526367,0.014754422940313816,1.0000001e-06,1.0,0.06687983125448227
33,0.9918699264526367,0.0167299322783947,1.0000001e-06,1.0,0.06681559979915619
